"longtitue.x","latitude.x","longtitue.y","latitude.y","Count"
-117.4730342,33.9290597,-117.313174,33.960619,6
-117.4703675,33.9372028,-117.313174,33.960619,2
-117.3497474,33.9350816,-117.313174,33.960619,1
-117.3447784,33.9416518,-117.298327,33.946599,2
-117.5013451,33.9356752,-117.298327,33.946599,1
-117.4994491,33.9334368,-117.313174,33.960619,3
-117.3136414,34.0047687,-117.313174,33.960619,3
-117.3136414,34.0047687,-117.298327,33.946599,4
-117.331311,33.858157,-117.298327,33.946599,4
-117.4723791,33.9527353,-117.298327,33.946599,5
-117.4723791,33.9527353,-117.313174,33.960619,4
-117.313414,34.004779,-117.313174,33.960619,7
-117.505978,33.886398,-117.298327,33.946599,3
-117.4308943,33.9104741,-117.313174,33.960619,1
-117.4308943,33.9104741,-117.298327,33.946599,2
-117.339921,34.004788,-117.50298,33.893499,2
-117.505978,33.886398,-117.313174,33.960619,4
-117.4145494,33.9432856,-117.298327,33.946599,5
-117.4993962,33.8973871,-117.50298,33.893499,1
-117.4133871,33.9458135,-117.313174,33.960619,4
-117.471688,33.88463,-117.298327,33.946599,2
-117.4577121,33.9103528,-117.313174,33.960619,3
-117.497381,33.9359361,-117.313174,33.960619,2
-117.5063986,33.9258906,-117.298327,33.946599,1
-117.4922942,33.9031295,-117.50298,33.893499,1
-117.4816643,33.9380873,-117.298327,33.946599,2
-117.4956209,33.931485,-117.298327,33.946599,3
-117.4952891,33.9205901,-117.313174,33.960619,1
-117.4027041,33.9632967,-117.313174,33.960619,2
-117.4027041,33.9632967,-117.298327,33.946599,2
-117.5016599,33.8946854,-117.50298,33.893499,1
-117.4569402,33.9099172,-117.298327,33.946599,3
-117.3894653,33.9554157,-117.50298,33.893499,1
-117.4933532,33.950841,-117.313174,33.960619,3
-117.4395394,33.9051381,-117.50298,33.893499,1
-117.4730342,33.9290597,-117.298327,33.946599,2
-117.4373686,33.9141769,-117.298327,33.946599,2
-117.4660194,33.9552383,-117.313174,33.960619,1
-117.4792163,33.9425728,-117.50298,33.893499,2
-117.4816643,33.9380873,-117.50298,33.893499,1
-117.5063986,33.9258906,-117.313174,33.960619,1
-117.4195246,33.9568324,-117.50298,33.893499,2
-117.4365581,33.9306479,-117.50298,33.893499,1
-117.310354,33.960471,-117.313174,33.960619,2
-117.4708385,33.9035631,-117.298327,33.946599,7
-117.4133871,33.9458135,-117.298327,33.946599,2
-117.4372185,33.9659294,-117.313174,33.960619,3
-117.4145554,33.9457636,-117.313174,33.960619,1
-117.4195246,33.9568324,-117.298327,33.946599,1
-117.4719871,33.9429465,-117.298327,33.946599,1
-117.310354,33.960471,-117.298327,33.946599,2
-117.4452059,33.9302526,-117.50298,33.893499,1
-117.4687225,33.947435,-117.313174,33.960619,2
-117.4973583,33.9189099,-117.298327,33.946599,1
-117.4583244,33.959617,-117.50298,33.893499,1
-117.3138591,34.0046626,-117.298327,33.946599,1
-117.4933532,33.950841,-117.50298,33.893499,1
-117.4360934,33.9602323,-117.298327,33.946599,4
-117.3879359,33.9578392,-117.298327,33.946599,2
-117.4035631,33.9619705,-117.298327,33.946599,1
-117.3768452,33.9145099,-117.298327,33.946599,1
-117.4992784,33.9410503,-117.50298,33.893499,1
-117.4395394,33.9051381,-117.298327,33.946599,1
-117.4797514,33.940831,-117.298327,33.946599,2
-117.4243342,33.9421105,-117.313174,33.960619,7
-117.4145494,33.9432856,-117.313174,33.960619,2
-117.501838,33.9184556,-117.298327,33.946599,3
-117.4030863,33.9625981,-117.298327,33.946599,3
-117.48041,33.9522903,-117.298327,33.946599,1
-117.4149341,33.9621894,-117.298327,33.946599,1
-117.488744,33.9445328,-117.298327,33.946599,1
-117.4383795,33.9636176,-117.298327,33.946599,4
-117.463749,33.8980248,-117.313174,33.960619,8
-117.4994491,33.9334368,-117.298327,33.946599,1
-117.330895,33.9581516,-117.298327,33.946599,17
-117.48041,33.9522903,-117.313174,33.960619,1
-117.47316,33.901713,-117.298327,33.946599,6
-117.4243342,33.9421105,-117.298327,33.946599,2
-117.3636965,33.905262,-117.313174,33.960619,4
-117.4992784,33.9410503,-117.298327,33.946599,1
-117.4708385,33.9035631,-117.50298,33.893499,1
-117.3472802,33.9475732,-117.50298,33.893499,1
-117.3768452,33.9145099,-117.313174,33.960619,2
-117.3771101,33.9208973,-117.313174,33.960619,1
-117.4395394,33.9051381,-117.313174,33.960619,2
-117.3388356,33.9338925,-117.50298,33.893499,1
-117.3494077,33.9733083,-117.298327,33.946599,3
-117.4360934,33.9602323,-117.313174,33.960619,5
-117.3388356,33.9338925,-117.298327,33.946599,1
-117.3649157,33.9071677,-117.298327,33.946599,1
-117.4732342,33.8985053,-117.298327,33.946599,4
-117.3138591,34.0046626,-117.50298,33.893499,1
-117.324564,33.9164645,-117.298327,33.946599,9
-117.4566774,33.9368542,-117.298327,33.946599,11
-117.3698051,33.9776748,-117.313174,33.960619,5
-117.4671557,33.8954758,-117.313174,33.960619,5
-117.318088,33.9756355,-117.313174,33.960619,3
-117.3403835,33.9461887,-117.298327,33.946599,2
-117.3509721,34.0021111,-117.313174,33.960619,2
-117.4719818,33.8917259,-117.50298,33.893499,1
-117.3771101,33.9208973,-117.298327,33.946599,1
-117.326945,33.869176,-117.50298,33.893499,1
-117.3684369,33.9765963,-117.313174,33.960619,1
-117.2976349,33.9311768,-117.313174,33.960619,3
-117.3494563,33.936906,-117.298327,33.946599,1
-117.3506642,33.9767725,-117.313174,33.960619,9
-117.322589,33.870444,-117.313174,33.960619,4
-117.4457832,33.9478299,-117.298327,33.946599,2
-117.2921595,33.9322115,-117.298327,33.946599,5
-117.313414,34.004779,-117.50298,33.893499,1
-117.4456357,33.9059509,-117.298327,33.946599,6
